CENSUS_TRACT_NAME,TOTAL_POP,STATE_NUM,COUNTY_NUM,TRACT_NUM,WHITE_POP,BIPOC_EST_POP,BIPOC_%_POP
"Census Tract 28, Genesee County, Michigan",2693,26,49,2800,1479,1214,45.07983661344226
"Census Tract 38, Genesee County, Michigan",1258,26,49,3800,920,338,26.86804451510334
"Census Tract 219.01, Ottawa County, Michigan",4531,26,139,21901,4224,307,6.775546237033768
"Census Tract 219.02, Ottawa County, Michigan",8119,26,139,21902,7567,552,6.79886685552408
"Census Tract 220.01, Ottawa County, Michigan",5689,26,139,22001,5183,506,8.894357532079452
"Census Tract 220.02, Ottawa County, Michigan",4081,26,139,22002,3876,205,5.023278608184269
"Census Tract 221.03, Ottawa County, Michigan",1506,26,139,22103,1486,20,1.3280212483399734
"Census Tract 221.05, Ottawa County, Michigan",6083,26,139,22105,5584,499,8.203189215847443
"Census Tract 221.06, Ottawa County, Michigan",3761,26,139,22106,3567,194,5.158202605689976
"Census Tract 221.07, Ottawa County, Michigan",1371,26,139,22107,1231,140,10.211524434719182
"Census Tract 221.08, Ottawa County, Michigan",6031,26,139,22108,5626,405,6.715304261316531
"Census Tract 222.03, Ottawa County, Michigan",9848,26,139,22203,5387,4461,45.29853777416734
"Census Tract 222.06, Ottawa County, Michigan",4681,26,139,22206,3875,806,17.218543046357617
"Census Tract 230.01, Ottawa County, Michigan",6429,26,139,23001,6222,207,3.2197853476434903
"Census Tract 230.02, Ottawa County, Michigan",7425,26,139,23002,6889,536,7.218855218855219
"Census Tract 235, Ottawa County, Michigan",4835,26,139,23500,4675,160,3.3092037228541886
"Census Tract 236, Ottawa County, Michigan",2447,26,139,23600,2295,152,6.211687780956273
"Census Tract 244, Ottawa County, Michigan",10264,26,139,24400,9076,1188,11.574434918160561
"Census Tract 246, Ottawa County, Michigan",6056,26,139,24600,5613,443,7.315059445178336
"Census Tract 249, Ottawa County, Michigan",7695,26,139,24900,6556,1139,14.80181936322287
"Census Tract 243, Ottawa County, Michigan",5528,26,139,24300,5250,278,5.028943560057887
"Census Tract 245, Ottawa County, Michigan",10837,26,139,24500,9384,1453,13.407769677955153
"Census Tract 251, Ottawa County, Michigan",7405,26,139,25100,5673,1732,23.38960162052667
"Census Tract 252, Ottawa County, Michigan",5784,26,139,25200,4140,1644,28.42323651452282
"Census Tract 255, Ottawa County, Michigan",4013,26,139,25500,3630,383,9.54398205831049
"Census Tract 257, Ottawa County, Michigan",5419,26,139,25700,4300,1119,20.64956634065326
"Census Tract 258, Ottawa County, Michigan",5358,26,139,25800,4143,1215,22.67637178051512
"Census Tract 9900, Ottawa County, Michigan",0,26,139,990000,0,0,
"Census Tract 9900, Presque Isle County, Michigan",0,26,141,990000,0,0,
"Census Tract 9900, St. Clair County, Michigan",0,26,147,990000,0,0,
