CENSUS_TRACT_NAME,TOTAL_HOUSEHOLDS,STATE_NUM,COUNTY_NUM,TRACT_NUM,WHITE_NOT_HISPANIC_RENTERS,BIPOC_RENTERS,%_BIPOC_RENTERS
"Census Tract 1, Iron County, Michigan",136,26,71,100,125,11,8.088235294117647
"Census Tract 1, Manistee County, Michigan",169,26,101,100,153,16,9.467455621301776
"Census Tract 1, Schoolcraft County, Michigan",108,26,153,100,72,36,33.33333333333333
"Census Tract 1, Charlevoix County, Michigan",82,26,29,100,78,4,4.878048780487805
"Census Tract 1, Houghton County, Michigan",64,26,61,100,64,0,0.0
"Census Tract 1, Gladwin County, Michigan",81,26,51,100,81,0,0.0
"Census Tract 1, Genesee County, Michigan",426,26,49,100,13,413,96.94835680751174
"Census Tract 1, Kalamazoo County, Michigan",389,26,77,100,64,325,83.54755784061697
"Census Tract 1, Marquette County, Michigan",558,26,103,100,551,7,1.2544802867383513
"Census Tract 1, Iosco County, Michigan",402,26,69,100,311,91,22.63681592039801
"Census Tract 1, Alpena County, Michigan",183,26,7,100,183,0,0.0
"Census Tract 1, Clare County, Michigan",69,26,35,100,52,17,24.637681159420293
"Census Tract 1, Jackson County, Michigan",492,26,75,100,433,59,11.991869918699187
"Census Tract 1, Gratiot County, Michigan",216,26,57,100,203,13,6.018518518518518
"Census Tract 1, Keweenaw County, Michigan",130,26,83,100,130,0,0.0
"Census Tract 1, Ingham County, Michigan",201,26,65,100,107,94,46.766169154228855
"Census Tract 1, Kent County, Michigan",366,26,81,100,285,81,22.131147540983605
"Census Tract 1, Muskegon County, Michigan",1413,26,121,100,729,684,48.40764331210191
"Census Tract 1, Tuscola County, Michigan",357,26,157,100,340,17,4.761904761904762
"Census Tract 1, Isabella County, Michigan",143,26,73,100,133,10,6.993006993006993
"Census Tract 1, Baraga County, Michigan",332,26,13,100,271,61,18.373493975903614
"Census Tract 1, Saginaw County, Michigan",135,26,145,100,4,131,97.03703703703704
"Census Tract 1, Alcona County, Michigan",51,26,1,100,51,0,0.0
"Census Tract 1, Benzie County, Michigan",253,26,19,100,210,43,16.99604743083004
"Census Tract 1, Alger County, Michigan",284,26,3,100,257,27,9.507042253521126
"Census Tract 2, Isabella County, Michigan",244,26,73,200,208,36,14.754098360655737
"Census Tract 2, Houghton County, Michigan",189,26,61,200,176,13,6.878306878306878
"Census Tract 2, Benzie County, Michigan",97,26,19,200,85,12,12.371134020618557
"Census Tract 2, Gladwin County, Michigan",27,26,51,200,21,6,22.22222222222222
"Census Tract 2, Calhoun County, Michigan",746,26,25,200,398,348,46.64879356568365
"Census Tract 2, Kent County, Michigan",78,26,81,200,73,5,6.41025641025641
"Census Tract 2, Iosco County, Michigan",264,26,69,200,264,0,0.0
"Census Tract 2, Saginaw County, Michigan",296,26,145,200,9,287,96.95945945945947
"Census Tract 2, Charlevoix County, Michigan",94,26,29,200,94,0,0.0
"Census Tract 2, Marquette County, Michigan",352,26,103,200,344,8,2.272727272727273
"Census Tract 2, Iron County, Michigan",66,26,71,200,66,0,0.0
"Census Tract 2, Clare County, Michigan",35,26,35,200,35,0,0.0
"Census Tract 2, Gratiot County, Michigan",297,26,57,200,268,29,9.764309764309765
"Census Tract 2, Alpena County, Michigan",213,26,7,200,168,45,21.12676056338028
"Census Tract 2, Genesee County, Michigan",205,26,49,200,0,205,100.0
"Census Tract 2, Baraga County, Michigan",281,26,13,200,144,137,48.754448398576514
"Census Tract 2, Alger County, Michigan",125,26,3,200,104,21,16.8
"Census Tract 2, Schoolcraft County, Michigan",51,26,153,200,37,14,27.450980392156865
"Census Tract 2, Jackson County, Michigan",674,26,75,200,361,313,46.439169139465875
"Census Tract 2, Manistee County, Michigan",67,26,101,200,65,2,2.9850746268656714
"Census Tract 2, Tuscola County, Michigan",162,26,157,200,146,16,9.876543209876543
"Census Tract 2.01, Kalamazoo County, Michigan",833,26,77,201,655,178,21.368547418967587
"Census Tract 2.02, Kalamazoo County, Michigan",156,26,77,202,12,144,92.3076923076923
"Census Tract 3, Iosco County, Michigan",198,26,69,300,198,0,0.0
"Census Tract 3, Berrien County, Michigan",303,26,21,300,0,303,100.0
"Census Tract 3, Clare County, Michigan",99,26,35,300,99,0,0.0
"Census Tract 3, Gladwin County, Michigan",82,26,51,300,82,0,0.0
"Census Tract 3, Tuscola County, Michigan",186,26,157,300,159,27,14.516129032258066
"Census Tract 3, Benzie County, Michigan",107,26,19,300,96,11,10.2803738317757
"Census Tract 3, Manistee County, Michigan",73,26,101,300,73,0,0.0
"Census Tract 3, Gratiot County, Michigan",536,26,57,300,460,76,14.17910447761194
"Census Tract 3, Muskegon County, Michigan",678,26,121,300,238,440,64.89675516224189
"Census Tract 3, Houghton County, Michigan",497,26,61,300,375,122,24.547283702213278
"Census Tract 3, Alger County, Michigan",71,26,3,300,62,9,12.676056338028168
"Census Tract 3, Calhoun County, Michigan",451,26,25,300,179,272,60.310421286031044
"Census Tract 3, Schoolcraft County, Michigan",406,26,153,300,340,66,16.25615763546798
"Census Tract 3, Marquette County, Michigan",518,26,103,300,497,21,4.054054054054054
"Census Tract 3, Charlevoix County, Michigan",113,26,29,300,105,8,7.079646017699115
"Census Tract 3, Genesee County, Michigan",611,26,49,300,9,602,98.52700490998363
"Census Tract 3, Kalamazoo County, Michigan",877,26,77,300,60,817,93.15849486887116
"Census Tract 3, Kent County, Michigan",687,26,81,300,556,131,19.068413391557495
"Census Tract 3, Isabella County, Michigan",199,26,73,300,193,6,3.015075376884422
"Census Tract 3, Alpena County, Michigan",193,26,7,300,193,0,0.0
"Census Tract 3, Iron County, Michigan",312,26,71,300,303,9,2.8846153846153846
"Census Tract 4, Kent County, Michigan",171,26,81,400,162,9,5.263157894736842
"Census Tract 4, Iron County, Michigan",373,26,71,400,363,10,2.680965147453083
"Census Tract 4, Gratiot County, Michigan",0,26,57,400,0,0,
"Census Tract 4, Isabella County, Michigan",662,26,73,400,518,144,21.75226586102719
"Census Tract 4, Saginaw County, Michigan",302,26,145,400,130,172,56.95364238410596
"Census Tract 4, Ingham County, Michigan",400,26,65,400,256,144,36.0
"Census Tract 4, Genesee County, Michigan",311,26,49,400,0,311,100.0
"Census Tract 4, Clare County, Michigan",255,26,35,400,255,0,0.0
"Census Tract 4, Alpena County, Michigan",415,26,7,400,415,0,0.0
"Census Tract 4, Gladwin County, Michigan",135,26,51,400,135,0,0.0
"Census Tract 4, Berrien County, Michigan",1147,26,21,400,95,1052,91.71752397558849
"Census Tract 4, Manistee County, Michigan",144,26,101,400,96,48,33.33333333333333
"Census Tract 4, Marquette County, Michigan",322,26,103,400,276,46,14.285714285714285
"Census Tract 4, Benzie County, Michigan",158,26,19,400,158,0,0.0
"Census Tract 4, Jackson County, Michigan",558,26,75,400,395,163,29.211469534050178
"Census Tract 4, Charlevoix County, Michigan",117,26,29,400,103,14,11.965811965811966
"Census Tract 4, Iosco County, Michigan",500,26,69,400,421,79,15.8
"Census Tract 4, Houghton County, Michigan",245,26,61,400,241,4,1.6326530612244898
"Census Tract 4, Tuscola County, Michigan",154,26,157,400,154,0,0.0
"Census Tract 4.01, Muskegon County, Michigan",579,26,121,401,222,357,61.6580310880829
"Census Tract 4.02, Muskegon County, Michigan",155,26,121,402,69,86,55.483870967741936
"Census Tract 5, Clare County, Michigan",85,26,35,500,77,8,9.411764705882353
"Census Tract 5, Gladwin County, Michigan",134,26,51,500,114,20,14.925373134328357
"Census Tract 5, Genesee County, Michigan",214,26,49,500,0,214,100.0
"Census Tract 5, Kent County, Michigan",148,26,81,500,118,30,20.27027027027027
"Census Tract 5, Jackson County, Michigan",263,26,75,500,185,78,29.65779467680608
"Census Tract 5, Muskegon County, Michigan",950,26,121,500,333,617,64.94736842105263
"Census Tract 5, Marquette County, Michigan",59,26,103,500,54,5,8.47457627118644
"Census Tract 5, Benzie County, Michigan",84,26,19,500,67,17,20.238095238095237
"Census Tract 5, Kalamazoo County, Michigan",1070,26,77,500,435,635,59.345794392523366
"Census Tract 5, Gratiot County, Michigan",1014,26,57,500,916,98,9.664694280078894
"Census Tract 5, Iosco County, Michigan",530,26,69,500,481,49,9.245283018867925
"Census Tract 5, Calhoun County, Michigan",509,26,25,500,236,273,53.63457760314342
"Census Tract 5, Houghton County, Michigan",302,26,61,500,259,43,14.23841059602649
"Census Tract 5, Manistee County, Michigan",95,26,101,500,83,12,12.631578947368421
"Census Tract 5, Berrien County, Michigan",306,26,21,500,0,306,100.0
"Census Tract 5, Isabella County, Michigan",718,26,73,500,631,87,12.116991643454039
"Census Tract 5, Tuscola County, Michigan",296,26,157,500,290,6,2.027027027027027
"Census Tract 5, Iron County, Michigan",118,26,71,500,118,0,0.0
"Census Tract 5, Charlevoix County, Michigan",35,26,29,500,31,4,11.428571428571429
